OrganisationNo;LineDiscount;CustomerUnit;AccountManager;Municipality;County;Country;NoOfEmployees;Potential;AccessoryRatio;TargetAccessory;NSB;CPLow;Days;TargetDays;NrOfOrder;Software
4462;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,3;12246;0;No;9388;0,088656796;47;47;1;Yes
4463;No;SMB Small;Unassigned_DK;Lolland;Sjælland;Dustin Denmark;30;0;0,028054;No;34171,87;0,0660953;587;9999;5;No
4464;No;SMB Mid;Mid - Segmentet;Jönköping;Jönköping;Dustin Sweden;30;311100;0,2239;No;262460,11;0,129929154;32;9999;42;No
4465;No;SMB Small;Unassigned_SE;Västerås;Västmanland;Dustin Sweden;6,5;0;0;No;1195;0,183531381;545;9999;1;No
4466;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;13,4;145926;0,35299;No;25812,6;0,259123064;12;9999;13;No
4467;No;SMB Small;Not Defined;Toivakka;Keski-Suomi;Dustin Finland;13,4;11109,94;0,106374;No;15284,26;0,181350618;40;9999;3;No
4468;No;SMB Large;Unassigned_DK;Morsø;Nordjylland;Dustin Denmark;167;2261180;0,184036;No;65944,85;0,123685019;60;9999;26;No
4469;No;SMB Large;Unassigned_NO;Skedsmo;Akershus;Dustin Norway;13,4;0;1;No;1319,26;0,049959826;397;9999;1;No
4470;Yes;Corporate;Carl Rasmussen;Stockholm;Stockholm;Dustin Sweden;68;1500080;0,107515;No;59872,79;0,118247872;21;9999;12;No
4471;Yes;Public;Unassigned_DK;Rudersdal;Hovedstaden;Dustin Denmark;-1;0;0,692341;No;41941,28;0,167687062;705;9999;1;No
4472;Yes;SMB Small;Daniel Helander;Stockholm;Stockholm;Dustin Sweden;1,8;15102;0,197106;No;9598,95;0,088596149;127;9999;3;No
4473;No;SMB Mid;Unassigned_DK;Syddjurs;Midtjylland;Dustin Denmark;30;0;0,083861;No;6745,99;0,118280638;726;9999;2;No
4474;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;0;0,39197;No;3263;0,176515477;441;9999;1;No
4475;No;SMB Small;Unassigned_SE;Lycksele;Västerbotten;Dustin Sweden;1,8;19602;0,576314;No;1313,52;0,034007857;85;9999;1;No
4476;No;SMB Large;Unassigned_NO;Vennesla;Vest-Agder;Dustin Norway;4864,3;0;0,080853;No;8989,51;0,101649589;447;447;4;Yes
4477;No;SMB Large;Kim Johansson;Göteborg;Västra Götaland;Dustin Sweden;329,4;2921778;0,336612;No;583278,84;0,172441949;6;9999;160;No
4478;No;SMB Mid;Mid HRHF;Örebro;Örebro;Dustin Sweden;30;311100;0,183035;No;440772,19;0,117031385;1;69;54;Yes
4479;No;SMB Mid;Mid HRLF;Värnamo;Jönköping;Dustin Sweden;68;797640;0,180131;No;16438;0,192957172;40;9999;11;No
4480;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;6,5;70785;1;No;1401,96;0,199998573;36;9999;1;No
4481;No;SMB Small;Unassigned_SE;Malmö;Skåne;Dustin Sweden;1,8;0;0;No;2639;0,071220159;473;9999;1;No
4482;No;SMB Mid;Unassigned_NO;Oslo;Oslo;Dustin Norway;30;0;0,344984;No;17587,62;0,202650501;372;9999;2;No
4483;No;SMB Small;Unassigned_NO;Rauma;Møre og Romsdal;Dustin Norway;1,3;28964;1;No;365,49;0,299214753;243;9999;3;No
4484;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;-1;0;0;No;5078;0,100636077;719;9999;2;No
4485;No;SMB Small;Unassigned_DK;København;Hovedstaden;Dustin Denmark;1,3;16653;0;No;344,64;0,137883008;176;9999;1;No
4486;No;SMB Large;Gustaf Wallin;Staffanstorp;Skåne;Dustin Sweden;374,2;4365318;0,242673;No;1038342,39;0,142117505;4;9999;344;No
4487;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;6,5;43420;0,343171;No;25302,2;0,189328201;18;9999;7;No
4488;No;SMB Small;Unassigned_SE;Strömstad;Västra Götaland;Dustin Sweden;6,5;29692;1;No;625;0,272;355;9999;1;No
4489;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;39708;0;No;1598;0,059349186;235;9999;1;No
4490;No;SMB Small;Unassigned_SE;Markaryd;Kronoberg;Dustin Sweden;13,4;118858;0,023312;No;26338,01;0,097595832;351;9999;6;No
4491;No;SMB Small;Unassigned_SE;Göteborg;Västra Götaland;Dustin Sweden;1,3;0;0;No;19679;0,083916358;372;9999;1;No
4492;No;SMB Small;Unassigned_DK;København;Hovedstaden;Dustin Denmark;1,3;5905,9;0,506941;No;19619,42;0,014317956;133;145;3;Yes
4493;No;SMB Small;Unassigned_DK;Svendborg;Syddanmark;Dustin Denmark;1,3;33111;0,238314;No;15713;0,091419843;46;9999;5;No
4494;No;SMB Small;Unassigned_SE;Göteborg;Västra Götaland;Dustin Sweden;6,5;143390;0,045402;No;270515,01;0,091161152;49;9999;29;No
4495;No;SMB Small;Unassigned_NO;Asker;Akershus;Dustin Norway;1,8;10080;0,098336;No;17968,96;0,119014122;76;9999;1;No
4496;No;SMB Small;Unassigned_SE;Huddinge;Stockholm;Dustin Sweden;1,3;0;0;No;1349;0,102550037;695;9999;1;No
4497;No;SMB Small;Unassigned_SE;Säter;Dalarna;Dustin Sweden;1,3;11687;4,00E-06;No;4651,42;0,03869356;63;9999;1;No
4498;No;SMB Small;Unassigned_SE;Mölndal;Västra Götaland;Dustin Sweden;30;351900;0,257342;No;1301458,72;0,131118819;11;43;127;Yes
4499;No;SMB Small;Unassigned_SE;Nässjö;Jönköping;Dustin Sweden;1,8;15102;0,516176;No;1413,16;0,377409494;46;9999;1;No
4500;No;SMB Small;Unassigned_DK;Gentofte;Hovedstaden;Dustin Denmark;1,8;0;0;No;2905,71;0,149657055;463;9999;1;No
4501;No;SMB Small;Unassigned_DK;Roskilde;Sjælland;Dustin Denmark;1,3;0;0;No;1497,31;0,078360527;460;9999;1;No
4502;No;SMB Small;Unassigned_NO;Randaberg;Rogaland;Dustin Norway;1,3;0;1;No;1603,09;0,054812893;694;9999;1;No
4503;No;SMB Small;Unassigned_DK;Esbjerg;Syddanmark;Dustin Denmark;6,5;0;0,252575;No;5426,65;0,137108529;728;9999;2;No
4504;No;SMB Small;Unassigned_NO;Oslo;Oslo;Dustin Norway;13,4;142174;1;No;813,76;0,216071077;287;9999;1;No
4505;No;SMB Small;Unassigned_SE;Solna;Stockholm;Dustin Sweden;1,3;14157;1;No;2090;0,394545455;183;9999;1;No
4506;No;SMB Small;Unassigned_SE;Göteborg;Västra Götaland;Dustin Sweden;1,8;19602;0;No;2499;0,14414966;361;9999;2;No
4507;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;19602;0,211734;No;100645,04;0,146388833;55;9999;6;No
4508;No;SMB Small;Unassigned_DK;Skanderborg;Midtjylland;Dustin Denmark;1,8;17262;1;No;13385,58;0,087533749;305;9999;1;No
4509;No;SMB Small;Unassigned_SE;Upplands Väsby;Stockholm;Dustin Sweden;1,3;0;0,095181;No;12597;0,095783917;699;9999;1;No
4510;No;SMB Mid;Unassigned_DK;Middelfart;Syddanmark;Dustin Denmark;363,8;0;0,290979;No;70416,75;0,1713713;390;9999;14;No
4511;No;SMB Large;Unassigned_DK;Norddjurs;Midtjylland;Dustin Denmark;137;1854980;0;No;2936,92;0,266793103;35;9999;1;No
4512;No;SMB Small;Unassigned_DK;Gribskov;Hovedstaden;Dustin Denmark;1,8;13824;0;No;7463,79;0,161568051;242;9999;1;No
4513;No;SMB Small;Unassigned_SE;Uppsala;Uppsala;Dustin Sweden;1,3;11687;0,392724;No;12408,2;0,134096807;237;9999;4;No
4514;No;SMB Small;Unassigned_SE;Lomma;Skåne;Dustin Sweden;1,3;28678;0,30954;No;15355;0,149686747;279;580;5;Yes
4515;No;SMB Small;Unassigned_SE;Göteborg;Västra Götaland;Dustin Sweden;1,8;0;0;No;11891;0,087425784;589;992;4;Yes
4516;No;SMB Small;Unassigned_SE;Norrköping;Östergötland;Dustin Sweden;6,5;76245;0,167811;No;102239,46;0,092281982;48;284;21;Yes
4517;No;SMB Small;Unassigned_SE;Hudiksvall;Gävleborg;Dustin Sweden;1,3;8684;0,417023;No;17897,8;0,110057102;147;9999;5;No
4518;No;SMB Small;Unassigned_DK;Nordfyns;Syddanmark;Dustin Denmark;-1;0;0,089967;No;7722;0,056642062;363;9999;3;No
4519;No;SMB Small;Unassigned_DK;Aalborg;Nordjylland;Dustin Denmark;13,4;102912;0,253401;No;40811,74;0,145717384;14;9999;8;No
4520;No;SMB Small;Unassigned_SE;Malmö;Skåne;Dustin Sweden;1,8;19602;0,311128;No;10433;0,132891786;64;9999;5;No
4521;No;SMB Mid;Mid - Segmentet;Stockholm;Stockholm;Dustin Sweden;30;326700;0,256805;No;103233,88;0,133952826;173;1023;23;Yes
4522;No;SMB Small;Unassigned_SE;Jönköping;Jönköping;Dustin Sweden;30;326700;0,122988;No;537611,97;0,115609889;4;9999;45;No
4523;No;SMB Mid;Mid HRHF;Södertälje;Stockholm;Dustin Sweden;30;351900;0,065415;No;207121,11;0,117593035;33;9999;27;No
4524;No;SMB Small;Unassigned_SE;Karlstad;Värmland;Dustin Sweden;6,5;70785;0,336272;No;114888,95;0,106487003;75;594;19;Yes
4525;No;SMB Small;Unassigned_DK;Gentofte;Hovedstaden;Dustin Denmark;6,5;58370;0,742097;No;38222,06;0,217883338;35;9999;14;No
4526;No;SMB Small;Unassigned_SE;Göteborg;Västra Götaland;Dustin Sweden;6,5;0;1;No;205;0,784390244;662;9999;1;No
4527;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;15102;0,179815;No;4449;0,145354012;253;9999;2;No
4528;No;Corporate;Daniel Källberg;Örnsköldsvik;Västernorrland;Dustin Sweden;13,4;112426;0,032166;No;8145;0,218028238;77;9999;1;No
4529;No;SMB Mid;Unassigned_DK;Gladsaxe;Hovedstaden;Dustin Denmark;30;287700;0,189449;No;115683,18;0,118033408;6;9999;7;No
4530;No;SMB Small;Unassigned_SE;Västervik;Kalmar;Dustin Sweden;1,8;0;0,290787;No;6111;0,100165276;372;9999;4;No
4531;No;SMB Small;Unassigned_DK;Kolding;Syddanmark;Dustin Denmark;30;327600;1;No;1105,76;0,263194545;34;9999;1;No
4532;No;Corporate;Rauno Lappi;Helsinki;Uusimaa;Dustin Finland;-1;0;0,077498;No;33105,33;0,092869033;588;9999;1;No
4533;No;SMB Small;Unassigned_DK;Gribskov;Hovedstaden;Dustin Denmark;1,8;24372;1;No;113,31;0,268820051;358;9999;1;No
4534;No;SMB Small;Unassigned_SE;Varberg;Halland;Dustin Sweden;1,8;19602;0,272282;No;24963;0,151331571;287;1009;12;Yes
4535;No;SMB Mid;Unassigned_NO;Røyken;Buskerud;Dustin Norway;30;342900;0,24396;No;86217,24;0,145309685;54;9999;12;No
4536;No;SMB Mid;Mid - Segmentet;Umeå;Västerbotten;Dustin Sweden;1,8;0;0,168249;No;197308,4;0,158218505;512;9999;38;No
4537;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;0;0;No;8670;0,048545559;418;9999;1;No
4538;No;SMB Small;Unassigned_SE;Uddevalla;Västra Götaland;Dustin Sweden;30;200400;0,092437;No;75986,4;0,076244828;158;9999;9;No
4539;No;SMB Small;Unassigned_SE;Hässleholm;Skåne;Dustin Sweden;13,4;157182;0,227326;No;10346,36;0,148853317;131;9999;2;No
4540;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,3;0;0,031946;No;7794,2;0,059850915;449;449;1;Yes
4541;No;SMB Small;Unassigned_SE;Hällefors;Örebro;Dustin Sweden;1,3;15249;0,094477;No;2318;0,121255393;251;9999;1;No
4542;No;SMB Small;Unassigned_DK;Lyngby-Taarbæk;Hovedstaden;Dustin Denmark;6,5;58370;0,209148;No;9577,76;0,131909758;109;9999;1;No
4543;Yes;SMB Small;Jonathan Hedefalk;Stockholm;Stockholm;Dustin Sweden;137;915160;0,060351;No;58500,88;0,062403677;8;9999;20;No
4544;No;SMB Small;Unassigned_DK;Skanderborg;Midtjylland;Dustin Denmark;1,8;0;1;No;377,39;0,307294841;454;9999;1;No
4545;No;SMB Small;Unassigned_SE;Tyresö;Stockholm;Dustin Sweden;1,8;0;0,101415;No;3037;0,097398749;638;9999;1;No
4546;Yes;Public;Andreas Braderup Klinge;Trondheim;Sør-Trøndelag;Dustin Norway;2501,3;22487081,33;1;No;57148,09;0,929355119;13;9999;41;No
4547;No;SMB Small;Unassigned_DK;Århus;Midtjylland;Dustin Denmark;756,5;7727638;0,277898;No;82504,32;0,148500224;12;9999;41;No
4548;No;SMB Small;Unassigned_SE;Karlskrona;Blekinge;Dustin Sweden;1,3;28678;0,379762;No;15106,83;0,148125715;97;9999;5;No
4549;No;SMB Small;Unassigned_DK;Odense;Syddanmark;Dustin Denmark;-1;0;0;No;1969,88;0,145288038;438;9999;1;No
4550;No;SMB Small;Unassigned_SE;Nynäshamn;Stockholm;Dustin Sweden;1,8;12024;0,023499;No;10128;0,128822077;111;9999;3;No
4551;No;SMB Small;Unassigned_SE;Arjeplog;Norrbotten;Dustin Sweden;1,3;5938,4;0,335743;No;5117;0,119874927;81;9999;2;No
4552;No;SMB Small;Unassigned_SE;Överkalix;Norrbotten;Dustin Sweden;1,8;15966;0;No;10503;0,121787108;49;9999;2;No
4553;No;SMB Small;Unassigned_SE;Uppsala;Uppsala;Dustin Sweden;13,4;145926;1;No;1888;0,270233051;4;9999;2;No
4554;No;SMB Small;Unassigned_SE;Borås;Västra Götaland;Dustin Sweden;30;251700;0,190989;No;80826,6;0,091381674;20;9999;11;No
4555;No;SMB Small;Unassigned_SE;Lidingö;Stockholm;Dustin Sweden;1,3;14157;0,213939;No;28036;0,077490726;197;845;9;Yes
4556;No;SMB Large;Unassigned_NO;Asker;Akershus;Dustin Norway;162,2;0;1;No;2204,26;0,330165226;546;9999;3;No
4557;No;SMB Large;Unassigned_NO;Oslo;Oslo;Dustin Norway;195,9;1529979;0,911874;No;26174,2;0,634122533;189;9999;7;No
4558;No;SMB Small;Not Defined;Rauma;Satakunta;Dustin Finland;6,5;0;1;No;588,61;0,207115068;543;9999;1;No
4559;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,3;14157;0,206603;No;288164,97;0,14154944;127;285;26;Yes
4560;No;SMB Small;Ella Stensland;Not Defined;Not Defined;Dustin Sweden;1;0;0,213092;No;16307,45;0,088002723;7;9999;1;No
4561;No;SMB Small;Unassigned_NO;Porsgrunn;Telemark;Dustin Norway;1,3;0;1;No;347,86;0,426579658;491;9999;1;No
4562;No;SMB Mid;Mid LRLF;Gislaved;Jönköping;Dustin Sweden;30;0;0,226665;No;17664,76;0,079770119;446;1035;4;Yes
4563;No;SMB Small;Unassigned_SE;Härjedalen;Jämtland;Dustin Sweden;1,8;14220;0,067268;No;5321,96;0,068694616;63;9999;1;No
4564;No;SMB Small;Unassigned_SE;Robertsfors;Västerbotten;Dustin Sweden;1,3;15249;0,04373;No;4550,64;0,038792346;236;9999;1;No
4565;No;SMB Small;Unassigned_SE;Ljusdal;Gävleborg;Dustin Sweden;1,8;12024;0,033335;No;5969,64;0,050731702;82;82;1;Yes
4566;Yes;Corporate;Lars Erik Kristiansen;Oslo;Oslo;Dustin Norway;1583;0;0,013576;No;44224,51;0,17814194;645;9999;2;No
4567;No;SMB Mid;Unassigned_DK;Ikast-Brande;Midtjylland;Dustin Denmark;30;0;0,094561;No;133375,91;0,137642172;657;1020;8;Yes
4568;No;Public;Public SE Online;Färgelanda;Västra Götaland;Dustin Sweden;13,4;0;0,615367;No;9110;0,200375412;1;9999;6;No
4569;No;SMB Small;Unassigned_DK;Randers;Midtjylland;Dustin Denmark;1,8;45594;0,165451;No;4198,28;0,105538459;111;9999;1;No
4570;No;SMB Small;Unassigned_DK;Næstved;Sjælland;Dustin Denmark;1,3;16653;1;No;678,25;0,302381128;250;9999;1;No
4571;No;SMB Small;Unassigned_SE;Uddevalla;Västra Götaland;Dustin Sweden;1,8;19602;0,298097;No;17209,82;0,107004606;319;9999;1;No
4572;No;SMB Mid;Mid - Segmentet;Askersund;Örebro;Dustin Sweden;71,6;839868;0,331575;No;179592,57;0,19748768;36;753;46;Yes
4573;No;SMB Mid;Mid HRHF;Sigtuna;Stockholm;Dustin Sweden;81,4;766788;0,310593;No;383720,5;0,124043698;1;1;71;Yes
4574;No;SMB Small;Unassigned_SE;Uppsala;Uppsala;Dustin Sweden;1,8;15102;0;No;3792,16;0,044520801;60;9999;1;No
4575;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;6,5;54535;0,129577;No;18568;0,0975;12;9999;2;No
4576;Yes;SMB Small;Unassigned_SE;Ängelholm;Skåne;Dustin Sweden;6,5;76245;0,321047;No;49556,56;0,106303787;61;9999;10;No
4577;No;SMB Small;Unassigned_SE;Umeå;Västerbotten;Dustin Sweden;1,8;0;0,62478;No;3995;0,166468085;460;9999;2;No
4578;No;SMB Small;Unassigned_SE;Askersund;Örebro;Dustin Sweden;1,8;16956;0,877211;No;12208;0,229605177;64;9999;8;No
4579;No;SMB Small;Unassigned_SE;Linköping;Östergötland;Dustin Sweden;13,4;295604;0,186546;No;777644,38;0,134011333;1;9999;98;No
4580;Yes;SMB Large;Sebastian Wollbraaten;Trondheim;Sør-Trøndelag;Dustin Norway;31,7;706276;0,108545;No;126082,29;0,096695024;78;9999;28;No
4581;No;SMB Small;Unassigned_SE;Sundsvall;Västernorrland;Dustin Sweden;1,3;14157;0,07625;No;13101,6;0,043326006;230;9999;4;No
4582;Yes;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;40752;0,07848;No;33325,05;0,089161757;253;939;8;Yes
4583;No;SMB Small;Unassigned_NO;Oslo;Oslo;Dustin Norway;1,8;0;1;No;420,32;0,491863342;638;9999;1;No
4584;No;SMB Mid;Unassigned_NO;Oslo;Oslo;Dustin Norway;1,8;22104;0,248827;No;43489,18;0,263128208;14;9999;3;No
4585;No;SMB Small;Unassigned_SE;Uppsala;Uppsala;Dustin Sweden;6,5;54535;0,073752;No;190448,16;0,111523104;201;9999;18;No
4586;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;19602;0,019677;No;17533;0,079577939;99;9999;2;No
4587;No;SMB Small;Unassigned_NO;Ringerike;Buskerud;Dustin Norway;6,5;0;0,031016;No;6259,22;0,072347673;705;9999;1;No
4588;No;SMB Small;Unassigned_SE;Lund;Skåne;Dustin Sweden;-1;0;0,158161;No;43974,67;0,13217882;305;9999;8;No
4589;No;SMB Small;Unassigned_DK;København;Hovedstaden;Dustin Denmark;1,8;23058;1;No;880,36;0,119610159;116;9999;1;No
4590;No;SMB Small;Unassigned_SE;Hallstahammar;Västmanland;Dustin Sweden;1,8;0;0;No;15843;0,050812977;372;9999;1;No
4591;No;SMB Small;Unassigned_SE;Vellinge;Skåne;Dustin Sweden;6,5;26136,5;0;No;783,4;0,053165688;77;9999;1;No
4592;No;SMB Small;Unassigned_DK;Høje-Taastrup;Hovedstaden;Dustin Denmark;1,8;0;0,71425;No;1602,17;0,134885811;511;9999;2;No
4593;No;SMB Small;Unassigned_DK;Odense;Syddanmark;Dustin Denmark;1,8;0;0;No;1883,7;0,102967564;435;435;2;Yes
4594;Yes;Corporate;Jonne Muttonen;Helsinki;Uusimaa;Dustin Finland;307;337914,9;0,41786;No;124716,93;0,117883995;4;9999;19;No
4595;No;SMB Small;Unassigned_SE;Malmö;Skåne;Dustin Sweden;1,3;28678;0,252018;No;152464,9;0,111512355;46;482;29;Yes
4596;No;SMB Mid;Unassigned_NO;Nes i Buskerud;Buskerud;Dustin Norway;68;0;0;No;510,89;0,252089491;370;9999;1;No
4597;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,3;28678;0,036389;No;10937,16;0,066190858;322;596;2;Yes
4598;No;SMB Small;Unassigned_DK;Århus;Midtjylland;Dustin Denmark;6,5;0;0;No;4947,32;0,045988535;610;9999;1;No
4599;No;SMB Small;Unassigned_NO;Oslo;Oslo;Dustin Norway;1,8;13626;0,37158;No;89537,44;0,137545031;67;9999;13;No
4600;No;SMB Mid;Mid - Segmentet;Eksjö;Jönköping;Dustin Sweden;68;797640;0,093942;No;84828,2;0,101730321;36;9999;15;No
4601;No;Corporate;Daniel Källberg;Sölvesborg;Blekinge;Dustin Sweden;30;251700;0,000927;No;105642;0,283344787;68;9999;3;No
4602;No;SMB Small;Unassigned_SE;Kalmar;Kalmar;Dustin Sweden;1,8;19602;0,018015;No;16597;0,113877207;204;205;3;Yes
4603;No;SMB Small;Unassigned_SE;Växjö;Kronoberg;Dustin Sweden;1,3;10907;0,070119;No;8514;0,047297393;63;9999;1;No
4604;No;SMB Small;Unassigned_SE;Norrköping;Östergötland;Dustin Sweden;1,3;0;0,212082;No;2334;0,22306341;455;9999;1;No
4605;No;SMB Small;Unassigned_SE;Haninge;Stockholm;Dustin Sweden;1,3;8684;0;No;4996;0,029101281;280;9999;1;No
4606;No;SMB Small;Unassigned_SE;Växjö;Kronoberg;Dustin Sweden;1,8;0;0;No;1349;0,144240178;624;9999;1;No
4607;No;SMB Small;Unassigned_SE;Örnsköldsvik;Västernorrland;Dustin Sweden;1,8;39708;0,220124;No;115802,98;0,098647548;5;9999;17;No
4608;No;SMB Small;Unassigned_DK;Gentofte;Hovedstaden;Dustin Denmark;1,3;13234;1;No;480,16;0,168672942;274;9999;1;No
4609;No;SMB Small;Unassigned_SE;Uppsala;Uppsala;Dustin Sweden;1,8;0;0,142588;No;14019,4;0,071168524;371;9999;3;No
4610;No;SMB Small;Unassigned_NO;Aurskog-Høland;Akershus;Dustin Norway;1,3;13793;1;No;9194,28;0,183383582;295;9999;1;No
4611;No;SMB Small;Unassigned_SE;Norrköping;Östergötland;Dustin Sweden;13,4;145926;0;No;1899;0,248030542;301;9999;1;No
4612;Yes;Corporate;Lasse Pettersen;Øygarden;Hordaland;Dustin Norway;68;465800;0,357288;No;8488,12;0,242108971;21;9999;6;No
4613;No;SMB Small;Unassigned_SE;Helsingborg;Skåne;Dustin Sweden;6,5;54535;0,718204;No;38528;0,157167774;124;9999;9;No
4614;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;19602;0;No;29995;0,181358893;237;9999;1;No
4615;No;SMB Small;Unassigned_SE;Lomma;Skåne;Dustin Sweden;1,3;28678;0,095501;No;41496,6;0,079106963;176;9999;8;No
4616;No;SMB Mid;Unassigned_NO;Bergen;Hordaland;Dustin Norway;30;0;0,24943;No;84774,66;0,135952064;628;9999;14;No
4617;No;SMB Mid;Unassigned_DK;Viborg;Midtjylland;Dustin Denmark;68;920720;0,149422;No;54115,59;0,127656928;252;9999;16;No
4618;No;SMB Small;Unassigned_SE;Värnamo;Jönköping;Dustin Sweden;6,5;0;0,276616;No;10144;0,102498028;599;9999;5;No
4619;Yes;Corporate;Niklas Camén;Göteborg;Västra Götaland;Dustin Sweden;13,4;145926;0,827959;No;3585881,67;0,104655411;7;14;63;Yes
4620;No;Public;Public SE Online;Täby;Stockholm;Dustin Sweden;95,1;751290;0,255114;No;598875,17;0,125195506;40;40;92;Yes
4621;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;6,5;51350;1;No;999;0,4298999;141;9999;1;No
4622;No;SMB Small;Unassigned_SE;Lidingö;Stockholm;Dustin Sweden;1,3;14157;0;No;6486,4;0,046410952;194;9999;1;No
4623;Yes;SMB Small;Unassigned_SE;Malmö;Skåne;Dustin Sweden;1,8;21114;0,044893;No;24884,19;0,092512555;70;9999;2;No
4624;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;15102;0,025822;No;25133,21;0,067224203;230;9999;8;No
4625;No;SMB Small;Unassigned_SE;Lomma;Skåne;Dustin Sweden;1,3;0;0,066778;No;4178;0,029150311;522;9999;1;No
4626;No;SMB Small;Unassigned_SE;Härnösand;Västernorrland;Dustin Sweden;13,4;0;0,082776;No;10027;0,130094744;567;9999;4;No
4627;No;SMB Small;Unassigned_SE;Västerås;Västmanland;Dustin Sweden;1,8;0;0;No;28895;0,055608583;717;9999;4;No
4628;No;SMB Mid;Mid LRLF;Halmstad;Halland;Dustin Sweden;68;705160;0,067257;No;35698,69;0,040286072;140;245;11;Yes
4629;No;SMB Small;Unassigned_SE;Degerfors;Örebro;Dustin Sweden;1,8;39708;0,550541;No;72055,56;0,162545264;139;9999;14;No
4630;No;SMB Large;Torben Nielsen;Århus;Midtjylland;Dustin Denmark;129,8;1244782;0,254881;No;460056,62;0,1290364;6;985;53;Yes
4631;No;SMB Small;Unassigned_SE;Kalmar;Kalmar;Dustin Sweden;1,8;0;0;No;8939,06;0,041149741;446;9999;1;No
4632;No;SMB Small;Unassigned_NO;Rana;Nordland;Dustin Norway;1,8;13374;1;No;1742,07;0,275517057;207;9999;1;No
4633;Yes;Public;Public SE ACQUSITION;Karlskrona;Blekinge;Dustin Sweden;100,6;879244;0,533675;No;7736,05;0,148994642;272;9999;3;No
4634;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;6,5;0;0;No;9532,94;0,008576578;375;9999;1;No
4635;No;SMB Mid;Mid - Segmentet;Göteborg;Västra Götaland;Dustin Sweden;30;351900;0,177477;No;73102,3;0,123498303;18;9999;21;No
4636;No;SMB Small;Unassigned_DK;Hedensted;Midtjylland;Dustin Denmark;-1;0;0,096067;No;5473,11;0,065856524;610;9999;1;No
4637;No;SMB Small;Unassigned_SE;Sollentuna;Stockholm;Dustin Sweden;13,4;112426;0,526675;No;86598,3;0,22056172;40;43;27;Yes
4638;No;SMB Small;Unassigned_SE;Ludvika;Dalarna;Dustin Sweden;6,5;54535;0,426003;No;45154,55;0,108639329;211;9999;14;No
4639;No;SMB Small;Unassigned_SE;Botkyrka;Stockholm;Dustin Sweden;1,3;13598;1;No;14302;0,230049643;39;9999;8;No
4640;No;SMB Small;Unassigned_SE;Nacka;Stockholm;Dustin Sweden;1,3;28678;0,164579;No;88176,18;0,094632133;97;629;17;Yes
4641;No;SMB Small;Unassigned_NO;Fredrikstad;Østfold;Dustin Norway;28,6;212498;0;No;6426,48;0,012849958;39;9999;1;No
4642;No;SMB Small;Unassigned_SE;Surahammar;Västmanland;Dustin Sweden;1,8;21114;0,189733;No;19237,49;0,118530536;327;9999;8;No
4643;No;SMB Small;Not Defined;Hämeenlinna;Kanta-Häme;Dustin Finland;1,8;1026,36;0;No;2387,77;0,145734304;194;9999;1;No
4644;No;SMB Small;Unassigned_NO;Guovdageaidnu-Kautokeino;Finnmark;Dustin Norway;1,8;0;0,386565;No;12271,8;0,181588683;671;9999;3;No
4645;No;SMB Small;Not Defined;Helsinki;Uusimaa;Dustin Finland;1,8;4928,4;0;No;10253,91;0,021776083;284;9999;1;No
4646;No;SMB Mid;Mid - Segmentet;Göteborg;Västra Götaland;Dustin Sweden;68;603160;0,144459;No;71702,03;0,103480194;29;9999;9;No
4647;No;SMB Small;Unassigned_DK;Hillerød;Hovedstaden;Dustin Denmark;1,3;13234;0,021804;No;255095,32;0,090127486;70;9999;24;No
4648;No;SMB Small;Unassigned_SE;Trosa;Södermanland;Dustin Sweden;1,8;21114;1;No;831,4;0,198532596;314;9999;1;No
4649;No;SMB Small;Unassigned_SE;Stockholm;Stockholm;Dustin Sweden;1,8;0;0,650373;No;2680;0,351820896;678;9999;1;No
4650;No;SMB Small;Unassigned_DK;København;Hovedstaden;Dustin Denmark;-1;0;1;No;3124,7;0,127487439;382;9999;1;No
